grass,deer,lion
464,299,3
474,299,3
490,299,3
503,299,3
518,299,3
529,299,3
547,299,3
565,299,3
584,299,3
601,298,3
616,298,3
629,298,3
642,298,3
660,298,3
683,298,3
701,298,3
719,298,3
745,298,3
764,298,3
783,298,3
806,298,3
830,298,3
852,298,3
873,298,3
903,298,3
932,298,3
960,298,3
997,298,3
1025,299,3
1055,300,3
1079,301,3
1113,305,3
1145,307,3
1179,309,3
1216,311,3
1249,316,3
1281,318,3
1320,319,3
1363,321,3
1399,324,3
1437,326,3
1483,329,3
1478,332,3
1482,334,3
1484,336,3
1483,337,3
1479,339,3
1475,342,3
1483,345,3
1489,348,3
1484,350,3
1482,356,3
1488,359,3
1470,361,3
1484,363,3
1476,363,3
1481,367,3
1485,373,3
1479,377,3
1486,377,3
1479,380,3
1478,382,3
1478,387,3
1485,390,3
1480,393,3
1487,398,3
1477,401,3
1482,402,3
1479,403,3
1471,405,3
1480,409,3
1476,414,3
1483,416,3
1481,419,3
1479,422,3
1481,429,3
1478,431,3
1482,433,3
1478,434,3
1475,438,3
1478,442,3
1478,446,3
1484,448,3
1475,454,3
1477,457,3
1478,458,3
1482,465,3
1480,469,3
1467,473,3
1479,475,3
1481,480,3
1475,483,3
1483,485,3
1473,487,3
1472,489,3
1478,492,3
1474,494,3
1476,500,3
1474,505,3
1474,509,3
1468,513,3
1472,517,3
1474,522,3
1468,525,3
1473,531,3
1466,533,3
1480,540,3
1466,543,3
1471,550,3
1477,557,3
1477,561,3
1471,563,3
1483,565,3
1471,570,3
1479,572,3
1476,582,3
1468,587,3
1478,589,3
1474,592,3
1475,594,3
1473,599,3
1472,601,3
1472,605,3
1467,612,3
1464,615,3
1473,619,3
1478,621,3
1478,629,3
1466,632,3
1473,638,3
1462,640,3
1467,643,3
1475,647,3
1474,654,3
1473,658,3
1473,661,3
1482,665,3
1471,670,3
1479,677,3
1471,683,3
1473,690,3
1472,693,3
1473,695,3
1479,701,3
1473,706,3
1475,708,3
1477,712,3
1475,717,3
1476,719,3
1481,722,3
1468,723,3
1474,724,3
1482,727,3
1473,731,3
1476,735,3
1473,741,3
1477,743,3
1468,745,3
1482,749,3
1466,753,3
1475,757,3
1474,761,3
1469,765,3
1474,766,3
1473,773,3
1470,775,3
1479,781,3
1467,784,3
1473,791,3
1470,796,3
1467,798,3
1468,803,3
1465,810,3
1475,817,3
1468,821,3
1469,822,3
1476,825,3
1462,830,3
1472,835,3
1469,839,3
1478,844,3
1472,851,3
1476,856,3
1472,857,3
1467,860,3
1469,862,3
1470,871,3
1468,877,3
1474,878,3
1472,884,3
1465,887,3
1472,894,3
1468,899,3
1472,907,3
1465,912,3
1475,918,3
1468,921,3
1473,924,3
1476,930,3
1468,934,3
1478,939,3
1465,945,3
1477,947,3
1471,953,3
1481,957,3
1469,961,3
1476,966,3
1475,969,3
1476,971,3
1477,971,3
1475,975,3
1477,979,3
1474,984,3
1477,987,3
1483,989,3
1473,992,3
1480,992,3
1489,998,3
1474,999,3
1476,1002,3
1473,1007,3
1478,1012,3
1480,1015,3
1485,1018,3
1477,1024,3
1481,1027,3
1471,1030,3
1470,1036,3
1474,1041,3
1475,1044,3
1479,1048,3
1470,1052,3
1477,1058,3
1473,1062,3
1476,1066,3
1466,1066,3
1468,1074,3
1477,1081,3
1465,1085,3
1476,1089,3
1479,1093,3
1472,1095,3
1482,1100,3
1470,1106,3
1476,1109,3
1480,1113,3
1456,1115,3
1470,1119,3
1468,1124,3
1482,1128,3
1468,1130,3
1467,1135,3
1462,1139,3
1471,1147,3
1464,1151,3
1467,1155,3
1463,1163,3
1468,1168,3
1465,1172,3
1464,1177,3
1467,1182,3
1471,1191,3
1476,1196,3
1467,1197,3
1471,1208,3
1474,1213,3
1467,1218,3
1462,1222,3
1456,1228,3
1461,1231,3
1472,1235,3
1474,1238,3
1479,1241,3
1469,1245,3
1471,1248,3
1478,1252,3
1462,1258,3
1473,1262,3
1465,1268,3
1465,1270,3
1462,1275,3
1471,1278,3
1461,1287,3
1471,1293,3
1472,1298,3
1460,1304,3
1461,1308,3
1465,1312,3
1470,1317,3
1463,1323,3
1467,1327,3
1471,1330,3
1470,1332,3
1470,1338,3
1470,1344,3
1471,1347,3
1461,1354,3
1462,1361,3
1464,1368,3
1469,1374,3
1459,1378,3
1465,1382,3
1457,1391,3
1455,1397,3
1460,1403,3
1464,1407,3
1462,1415,3
1472,1422,3
1464,1425,3
1470,1437,3
1467,1440,3
1468,1442,3
1465,1448,3
1477,1449,3
1466,1454,3
1468,1457,3
1460,1465,3
1472,1469,3
1464,1475,3
1470,1477,3
1462,1482,3
1474,1483,3
1462,1487,3
1461,1492,3
1469,1496,3
1473,1504,3
1458,1505,3
1467,1518,3
1458,1522,3
1472,1525,3
1466,1531,3
1472,1537,3
1462,1543,3
1475,1546,3
1452,1551,3
1470,1554,3
1455,1560,3
1459,1568,3
1457,1574,3
1464,1582,3
1461,1587,3
1469,1592,3
1472,1599,3
1453,1605,3
1471,1610,3
1471,1614,3
1474,1618,3
1468,1626,3
1463,1631,3
1458,1633,3
1474,1641,3
1456,1651,3
1473,1658,3
1459,1662,3
1465,1666,3
1468,1671,3
1464,1678,3
1472,1682,3
1465,1689,3
1475,1695,3
1466,1699,3
1463,1706,3
1459,1712,3
1458,1721,3
1459,1726,3
1454,1731,3
1463,1734,3
1454,1737,3
1462,1746,3
1446,1756,3
1465,1762,3
1459,1764,3
1458,1767,3
1463,1775,3
1466,1786,3
1468,1793,3
1459,1798,3
1468,1805,3
1460,1810,3
1459,1813,3
1462,1817,3
1454,1822,3
1458,1827,3
1462,1830,3
1462,1831,3
1454,1841,3
1456,1848,3
1454,1852,3
1448,1862,3
1446,1872,3
1457,1880,3
1454,1890,3
1436,1894,3
1451,1903,3
1441,1909,3
1451,1920,3
1441,1930,3
1448,1938,3
1437,1945,3
1445,1956,3
1446,1964,3
1440,1971,3
1445,1981,3
1436,1994,3
1439,2007,3
1440,2015,3
1443,2019,3
1446,2029,3
1446,2034,3
1437,2041,3
1442,2049,3
1431,2056,3
1453,2067,3
1421,2081,3
1428,2092,3
1417,2101,3
1415,2108,3
1412,2123,3
1413,2130,3
1424,2141,3
1444,2145,3
1434,2154,3
1444,2170,3
1441,2176,3
1446,2186,3
1432,2201,3
1436,2220,3
1431,2227,3
1443,2238,3
1432,2243,3
1435,2249,3
1419,2259,3
1424,2270,3
1419,2278,3
1424,2286,3
1435,2290,3
1442,2301,3
1438,2311,3
1430,2318,3
1428,2334,3
1419,2346,3
1424,2364,3
1418,2373,3
1396,2379,3
1392,2391,3
1393,2404,3
1398,2411,3
1406,2423,3
1417,2439,3
1413,2454,3
1409,2464,3
1421,2469,3
1423,2480,3
1423,2490,3
1420,2502,3
1424,2509,3
1439,2525,3
1417,2536,3
1424,2544,3
1430,2558,3
1430,2563,3
1432,2572,3
1431,2590,3
1430,2596,3
1435,2607,3
1427,2614,4
1429,2629,4
1425,2641,4
1433,2655,4
1419,2664,4
1404,2681,4
1391,2691,4
1388,2705,4
1385,2712,4
1374,2725,4
1370,2742,4
1377,2755,4
1381,2762,4
1389,2771,4
1393,2780,5
1404,2790,5
