grass,deer,lion
460,299,3
471,299,3
488,299,3
503,299,3
518,299,3
535,299,3
553,299,3
568,299,3
586,299,3
596,299,3
612,299,3
626,299,3
647,299,3
668,299,3
686,299,3
708,299,3
730,299,3
746,299,3
770,299,3
795,299,3
807,299,3
821,300,3
835,302,3
858,302,3
883,303,3
906,303,3
939,303,3
957,305,3
980,306,3
1003,307,3
1035,309,3
1063,311,3
1095,312,3
1128,313,3
1162,317,3
1188,319,3
1226,327,3
1255,331,3
1293,333,3
1324,337,3
1357,344,3
1399,351,3
1442,355,3
1463,359,3
1468,365,3
1474,367,3
1480,373,3
1476,376,3
1469,382,3
1485,383,3
1481,386,3
1481,389,3
1480,391,3
1473,393,4
1482,396,4
1478,399,4
1472,400,4
1467,410,4
1477,413,4
1470,420,4
1466,429,4
1471,434,4
1473,437,4
1480,440,4
1478,441,5
1484,442,5
1479,444,5
1476,446,5
1480,447,5
1481,448,5
1482,450,5
1476,452,5
1474,455,5
1479,461,5
1477,462,5
1475,468,5
1473,469,5
1477,472,5
1479,472,5
1476,477,5
1476,479,5
1473,484,5
1485,488,5
1478,494,5
1477,495,5
1484,497,5
1469,503,5
1470,507,5
1460,514,5
1479,518,5
1471,525,5
1476,531,5
1461,538,5
1469,540,5
1471,545,5
1479,548,5
1465,554,5
1473,559,5
1475,563,5
1469,567,5
1472,573,5
1466,576,5
1469,582,5
1470,588,5
1472,592,5
1473,597,5
1482,600,5
1471,605,5
1474,608,5
1472,612,5
1473,616,5
1476,622,5
1466,629,5
1467,633,5
1472,637,5
1471,639,5
1478,645,5
1467,650,5
1471,654,5
1472,658,5
1484,662,5
1460,666,5
1464,671,5
1469,673,5
1466,675,5
1462,680,5
1472,686,5
1468,692,5
1467,698,5
1477,701,5
1475,705,5
1467,711,5
1468,717,5
1463,720,5
1468,728,5
1464,730,5
1471,732,5
1462,734,5
1470,742,5
1470,747,5
1470,756,5
1475,763,5
1459,770,5
1471,775,5
1460,780,5
1467,789,5
1460,797,5
1460,802,5
1463,809,5
1466,815,5
1462,817,5
1459,821,5
1472,824,5
1469,826,5
1468,829,5
1470,836,5
1466,843,5
1473,847,5
1459,855,5
1468,859,5
1465,862,5
1462,869,5
1473,872,5
1473,874,5
1470,885,5
1470,892,5
1467,900,5
1469,903,5
1469,907,5
1472,911,5
1474,914,5
1471,918,5
1474,923,5
1463,929,5
1467,935,5
1464,940,5
1472,942,5
1469,945,5
1466,947,5
1473,951,5
1459,957,5
1466,965,5
1469,972,5
1474,974,5
1467,980,5
1462,986,5
1466,992,5
1470,998,5
1462,1003,5
1466,1009,5
1469,1014,5
1476,1017,5
1473,1021,5
1471,1024,5
1464,1028,5
1457,1036,5
1470,1044,5
1456,1050,5
1479,1052,5
1462,1054,5
1466,1061,5
1473,1068,5
1465,1075,5
1469,1082,5
1463,1090,5
1468,1097,5
1470,1102,5
1470,1106,5
1465,1114,5
1462,1120,5
1465,1124,5
1465,1132,5
1472,1133,5
1467,1137,5
1466,1140,5
1462,1147,5
1463,1150,5
1466,1157,5
1470,1160,5
1470,1165,5
1465,1168,5
1466,1174,5
1462,1177,5
1457,1185,5
1466,1189,5
1462,1195,5
1464,1197,5
1462,1202,5
1463,1206,5
1459,1212,5
1468,1217,5
1454,1227,5
1478,1231,5
1465,1236,5
1471,1243,5
1464,1252,5
1463,1252,5
1467,1262,5
1459,1269,5
1458,1273,5
1466,1276,5
1462,1280,5
1463,1285,5
1461,1296,5
1461,1300,5
1470,1302,5
1459,1307,5
1456,1309,5
1454,1313,5
1452,1319,5
1449,1322,5
1454,1328,5
1459,1334,5
1454,1340,5
1464,1347,5
1472,1351,5
1461,1355,5
1461,1361,5
1464,1370,5
1468,1375,5
1456,1381,5
1471,1385,5
1457,1392,5
1466,1395,5
1460,1396,5
1464,1399,5
1469,1407,5
1472,1412,5
1466,1417,5
1460,1421,5
1468,1427,5
1464,1435,5
1464,1442,5
1466,1448,5
1463,1451,5
1460,1460,5
1464,1465,5
1464,1469,5
1470,1475,5
1465,1478,5
1463,1488,5
1463,1493,5
1456,1501,5
1460,1510,5
1457,1516,5
1470,1522,5
1454,1527,5
1467,1529,5
1464,1534,5
1461,1536,5
1469,1540,5
1461,1546,5
1463,1554,5
1461,1564,5
1463,1570,5
1460,1576,5
1473,1579,5
1464,1590,5
1460,1599,5
1465,1602,5
1472,1603,5
1465,1609,5
1468,1613,5
1472,1617,5
1469,1621,5
1474,1626,5
1458,1633,5
1469,1635,5
1465,1640,5
1459,1648,5
1461,1652,5
1451,1656,5
1471,1660,5
1461,1667,5
1475,1669,5
1467,1674,5
1473,1682,5
1465,1688,5
1467,1694,5
1455,1697,5
1468,1701,5
1457,1705,5
1464,1712,5
1447,1718,5
1456,1722,5
1461,1728,5
1463,1733,5
1470,1735,5
1471,1743,5
1462,1745,5
1463,1754,5
1465,1759,5
1464,1765,5
1455,1775,5
1460,1780,5
1451,1785,5
1461,1791,5
1458,1796,5
1455,1801,5
1457,1809,5
1461,1818,5
1458,1824,5
1466,1830,5
1453,1838,5
1469,1840,5
