grass,deer,lion
243,297,4
188,304,4
197,307,5
211,314,6
217,320,9
234,332,10
257,343,10
272,356,10
287,369,11
290,365,20
299,334,20
290,328,20
301,326,20
337,325,20
353,320,20
370,281,37
395,235,58
395,227,67
400,241,67
415,236,70
442,234,73
450,236,70
488,236,69
536,232,68
582,216,75
609,219,75
548,197,94
539,198,94
537,201,98
578,190,100
645,163,110
675,86,138
665,83,145
703,82,149
739,86,148
752,98,142
803,70,149
846,75,143
884,82,143
924,84,141
969,91,135
1025,99,134
1066,108,133
1054,116,131
1096,104,131
1148,100,129
1194,98,124
1210,108,123
1177,126,118
1164,132,113
1171,134,108
1180,145,95
1177,159,87
1163,160,88
1102,179,83
1093,195,84
1011,221,66
962,242,63
836,269,60
726,299,56
588,316,61
508,345,59
495,358,59
454,317,79
431,334,69
416,348,63
435,360,60
457,361,61
440,377,60
438,347,70
466,340,68
487,333,67
493,334,67
501,324,63
494,316,57
504,304,56
482,301,55
517,295,53
555,278,57
571,267,58
562,269,53
577,265,53
613,262,52
647,258,39
687,259,38
725,246,42
724,228,48
710,230,43
663,236,41
651,248,33
633,262,33
627,263,33
631,274,33
620,279,32
593,282,35
577,296,35
528,311,34
507,328,33
532,302,39
569,296,36
579,287,37
559,300,37
517,309,38
511,311,38
497,310,38
499,312,35
491,307,30
492,290,29
500,272,33
501,272,37
473,278,42
451,287,45
475,289,45
523,266,53
562,268,50
584,271,49
598,269,48
535,288,48
521,290,42
555,284,43
591,286,40
599,270,43
618,228,60
610,236,56
541,252,56
490,256,57
435,273,56
441,282,53
458,289,52
450,297,51
447,289,58
443,297,54
411,309,54
388,311,50
368,318,50
365,326,49
378,318,48
398,318,46
436,322,45
468,320,42
499,276,56
510,285,53
489,288,41
514,280,42
532,277,40
546,242,52
560,234,56
570,235,55
604,239,55
623,237,54
659,244,47
702,238,43
756,228,43
787,224,43
822,223,45
859,210,41
882,206,38
862,204,37
841,194,39
824,200,38
818,185,32
823,187,32
810,201,33
785,212,32
744,226,33
730,242,27
732,251,24
723,256,24
633,272,23
582,271,27
573,263,29
591,267,30
612,259,36
601,265,33
618,257,32
635,256,31
661,261,31
705,260,31
747,179,71
764,178,71
759,170,74
686,186,76
634,194,77
590,209,75
550,240,76
532,247,76
527,254,76
498,184,112
449,209,112
390,228,113
366,237,110
350,254,105
389,261,100
418,260,98
458,269,97
476,281,95
507,289,92
517,289,87
523,298,68
519,271,79
