grass,deer,lion
245,299,3
210,306,3
212,317,3
223,330,3
218,341,3
242,329,12
249,342,12
260,353,12
272,365,12
265,369,17
234,337,18
241,332,18
255,328,23
269,333,24
299,333,25
306,333,25
328,330,25
329,329,26
331,323,26
342,316,26
355,310,26
386,300,26
408,289,33
395,294,34
382,284,34
389,297,32
397,305,32
417,306,31
432,304,31
454,307,27
431,308,28
427,303,26
416,309,25
391,315,25
396,315,23
429,314,22
441,306,22
439,308,21
445,237,57
441,250,57
457,256,57
459,268,57
476,267,56
505,263,56
538,257,53
513,261,54
455,278,53
417,292,53
379,303,50
351,305,51
330,308,49
351,298,48
383,300,43
441,291,42
494,291,39
563,290,37
619,241,58
645,223,64
614,227,43
588,223,45
545,225,43
514,242,43
548,239,42
588,240,44
626,123,99
653,129,101
633,115,114
652,124,118
698,123,118
748,71,141
784,74,142
813,72,146
846,77,147
859,87,146
861,103,145
779,130,141
735,155,129
672,176,124
616,196,122
608,207,120
642,215,115
678,221,110
681,235,104
724,242,95
768,234,79
800,141,120
803,145,116
796,149,113
735,162,115
716,175,98
713,186,97
729,197,92
753,175,105
745,188,104
775,190,106
804,189,106
805,198,101
805,210,100
805,197,106
793,202,104
801,207,99
805,211,96
794,197,106
804,203,101
831,204,90
877,181,74
912,175,76
933,121,103
906,129,104
886,142,103
897,150,102
917,146,106
877,141,105
863,144,106
886,153,106
874,156,107
838,172,107
831,176,109
840,187,106
860,174,116
883,148,132
883,163,129
891,171,125
887,140,140
902,149,135
886,152,130
840,164,127
858,167,112
893,147,119
948,153,118
981,160,115
1025,159,108
1027,174,98
993,189,94
967,205,93
958,213,83
932,226,78
928,233,74
940,236,69
843,245,67
789,251,64
777,248,64
719,259,66
661,256,61
627,265,62
569,268,62
551,261,60
532,267,57
509,285,54
501,282,54
504,280,58
495,298,56
471,310,54
447,317,53
376,335,52
351,350,52
361,351,52
372,348,52
349,347,55
332,343,45
352,345,43
348,344,43
347,342,45
370,347,39
386,330,41
380,318,40
378,314,40
418,297,48
415,289,53
429,287,53
449,292,46
464,287,46
464,272,54
494,247,60
518,217,72
518,222,72
538,223,70
555,234,69
583,208,83
596,184,97
606,186,97
613,189,99
647,181,98
708,182,97
752,183,90
792,180,89
810,183,90
787,184,87
799,179,90
814,166,93
827,159,95
767,172,98
705,181,98
679,199,93
728,200,82
780,203,81
810,205,81
773,197,90
704,201,86
706,211,81
