grass,deer,lion
222,302,3
208,304,3
200,310,3
217,318,3
218,328,3
217,342,3
211,361,3
229,371,3
250,384,3
276,386,6
270,357,9
288,365,9
301,364,9
312,366,9
288,375,10
256,369,13
254,376,13
277,338,29
266,339,30
287,343,30
299,338,31
295,332,33
282,344,33
293,345,33
319,345,33
339,337,33
328,339,32
336,344,30
330,339,32
349,343,32
383,339,31
424,337,31
475,303,37
519,299,36
531,291,36
527,297,32
505,284,34
526,286,29
575,269,27
584,211,55
571,214,52
591,219,50
626,226,50
671,215,53
698,217,52
712,214,54
714,211,57
683,212,61
681,219,61
684,222,60
652,217,59
632,219,61
620,227,59
639,234,58
661,234,55
699,236,54
727,236,55
739,232,54
735,238,52
731,242,37
694,251,39
736,244,37
774,237,36
816,222,36
834,212,42
851,220,40
805,224,39
776,237,36
752,249,35
734,254,34
742,247,31
731,240,37
695,260,35
681,273,34
727,278,34
758,283,33
725,295,28
706,295,27
696,293,27
685,291,26
675,237,56
638,256,56
632,268,56
639,269,55
652,271,52
616,279,55
591,288,53
581,301,52
603,310,52
630,309,52
643,311,52
626,316,45
560,338,44
557,331,44
568,334,40
573,289,61
540,295,60
522,295,63
440,304,69
412,309,67
416,318,50
445,320,50
441,265,76
390,275,78
385,279,78
401,235,92
432,236,94
488,238,93
514,205,104
525,196,110
538,191,110
582,193,112
623,194,109
675,179,115
717,141,131
723,99,147
725,105,142
722,112,138
704,128,133
679,145,131
686,156,131
689,172,129
688,183,113
661,203,109
640,192,117
613,175,123
535,203,121
469,224,119
488,230,110
533,233,105
603,218,107
681,213,106
742,204,109
753,216,106
754,223,99
783,134,135
837,135,135
877,105,143
886,103,141
889,112,138
849,122,138
831,138,136
861,142,136
892,122,144
859,138,136
802,152,126
792,164,125
808,138,136
828,148,133
817,162,132
820,175,125
878,179,121
917,134,136
837,141,146
774,159,147
724,170,124
723,185,122
748,184,115
738,129,140
734,142,140
735,154,135
748,166,135
745,182,133
723,196,124
699,214,121
714,221,116
697,236,114
698,231,106
705,227,103
690,234,100
647,245,98
620,257,94
621,264,78
628,261,71
627,252,66
600,260,63
563,271,62
569,271,58
580,281,27
567,245,46
573,230,54
599,235,54
628,242,54
625,255,49
592,272,49
533,293,49
455,313,49
434,328,46
427,338,43
436,344,42
429,351,41
432,352,41
456,350,40
477,351,40
502,357,37
515,347,34
505,341,32
474,291,49
467,284,49
481,269,40
