grass,deer,lion
459,298,3
459,298,3
470,298,3
482,298,3
498,298,3
513,298,3
529,298,3
541,298,3
551,298,3
560,298,3
567,298,3
585,298,3
600,298,3
621,298,3
641,298,3
661,298,3
674,298,3
695,298,3
706,298,3
729,298,3
750,299,3
767,299,3
788,299,3
815,299,3
837,301,3
854,301,3
883,301,3
921,303,3
953,303,3
988,304,3
1022,304,3
1054,304,3
1090,304,3
1129,304,3
1166,304,3
1199,305,3
1237,305,3
1280,309,3
1322,309,3
1364,309,3
1407,309,3
1447,311,3
1473,316,3
1477,317,3
1475,321,3
1476,327,3
1474,329,4
1476,334,4
1474,338,4
1480,343,4
1481,348,4
1481,351,4
1480,353,4
1478,356,4
1482,364,4
1488,371,4
1477,373,4
1482,377,4
1482,380,4
1481,382,4
1479,388,4
1476,392,4
1478,393,4
1478,396,4
1488,396,4
1484,399,4
1480,401,4
1486,403,4
1486,407,4
1475,407,4
1477,409,4
1482,411,4
1478,414,4
1480,416,4
1479,419,4
1476,423,4
1479,427,4
1478,430,4
1481,433,4
1477,436,4
1480,438,4
1475,440,4
1488,443,4
1481,449,4
1481,455,4
1474,456,5
1483,462,5
1483,463,5
1480,465,5
1475,467,5
1477,471,5
1479,474,5
1475,479,5
1476,482,5
1480,483,5
1474,488,5
1485,491,5
1477,491,5
1479,492,5
1481,494,5
1478,500,5
1483,504,5
1479,513,5
1479,515,5
1475,519,5
1479,525,5
1478,528,5
1481,530,5
1468,534,5
1477,534,5
1468,540,5
1472,545,5
1472,547,5
1469,553,5
1472,557,5
1484,561,5
1478,565,5
1476,571,5
1475,574,5
1469,578,5
1482,581,5
1463,587,5
1480,591,5
1468,597,5
1483,601,5
1470,604,5
1474,609,5
1475,611,5
1480,614,5
1475,619,5
1476,620,5
1479,622,5
1473,625,5
1476,636,5
1477,638,5
1480,641,5
1479,646,5
1478,650,5
1483,650,5
1474,652,5
1479,654,5
1473,656,5
1486,659,5
1479,663,5
1481,667,5
1479,672,5
1479,673,5
1476,676,5
1478,681,5
1483,683,5
1483,683,5
1485,685,5
1475,693,5
1473,697,5
1478,700,5
1481,701,5
1487,705,5
1485,707,5
1482,708,5
1482,711,5
1485,714,5
1480,716,5
1488,720,5
1470,720,5
1482,722,5
1469,726,5
1483,730,5
1473,736,5
1486,739,5
1480,743,5
1483,745,5
1482,749,5
1484,751,5
1480,753,5
1480,754,5
1477,759,5
1485,765,5
1478,768,5
1474,770,5
1486,771,5
1473,775,5
1479,779,5
1479,786,5
1478,793,5
1481,797,5
1480,801,5
1481,803,5
1485,805,5
1479,809,5
1477,815,5
1477,817,5
1485,822,5
1479,822,5
1466,823,5
1482,824,5
1480,825,5
1479,829,5
1482,831,5
1477,832,5
1484,834,5
1479,837,5
1484,838,5
1474,842,5
1484,843,5
1479,848,5
1475,852,5
1476,857,5
1478,859,5
1481,864,5
1477,866,5
1479,868,5
1481,873,5
1482,873,5
1480,876,5
1474,878,5
1478,882,5
1469,887,5
1478,891,5
1472,895,5
1481,898,5
1474,899,5
1478,901,5
1475,905,5
1472,911,5
1477,910,5
1474,914,5
1477,919,5
1474,922,5
1471,923,6
1481,925,6
1485,925,6
1482,928,6
1473,934,6
1478,939,6
1477,942,6
1473,946,6
1474,951,7
1479,958,7
1471,961,7
1475,967,7
1480,971,8
1471,973,8
1485,974,8
1473,978,8
1479,980,8
1470,986,8
1477,990,8
1473,992,8
1470,995,8
1469,999,8
1481,1005,8
1462,1006,8
1474,1010,8
1465,1015,8
1471,1021,8
1461,1030,8
1479,1037,8
1471,1040,8
1467,1045,8
1475,1050,8
1468,1053,8
1462,1058,8
1472,1061,8
1458,1069,8
1459,1072,8
1464,1076,8
1452,1082,8
1455,1086,8
1462,1094,8
1461,1096,8
1468,1101,8
1465,1105,8
1462,1110,8
