day,juvenile,mature,adult
399,89,55,0
400,89,52,0
401,92,46,0
402,94,43,0
403,103,37,0
404,112,35,0
405,119,33,0
406,133,25,0
407,136,25,0
408,144,24,0
409,146,24,0
410,149,24,0
411,149,22,0
412,158,22,0
413,172,24,0
414,188,28,0
415,201,31,0
416,211,31,0
417,215,32,0
418,212,35,0
419,211,37,0
420,216,39,0
421,217,37,0
422,214,40,0
423,209,45,0
424,203,51,0
425,201,52,0
426,202,51,0
427,205,52,0
428,214,52,0
429,226,51,0
430,237,57,0
431,259,58,0
432,273,60,0
433,289,56,0
434,296,57,0
435,299,54,0
436,298,52,0
437,296,56,0
438,304,55,0
439,307,55,0
440,308,58,0
441,314,57,0
442,313,58,0
443,316,56,0
444,320,55,0
445,323,54,0
446,322,54,0
447,322,56,0
448,317,60,0
449,322,59,1
450,332,57,1
451,332,56,1
452,333,54,1
453,359,53,1
454,371,52,1
455,375,50,1
456,381,48,1
457,395,47,1
458,406,47,1
459,412,48,1
460,420,50,1
461,430,49,1
462,444,49,1
463,452,52,1
464,458,54,1
465,461,62,1
466,466,71,1
467,479,78,1
468,470,92,1
469,470,94,1
470,463,101,1
471,462,103,1
472,461,105,1
473,461,104,1
474,457,111,1
475,442,127,1
476,424,146,1
477,408,160,0
478,398,166,0
479,393,165,0
480,393,162,0
481,392,154,0
482,385,152,0
483,384,144,0
484,384,143,0
485,384,130,0
486,384,116,0
487,383,107,0
488,382,96,0
489,378,88,0
490,368,88,0
491,356,88,0
492,339,95,0
493,315,113,0
494,299,118,0
495,283,127,0
496,274,124,0
497,273,123,0
498,276,118,0
499,275,118,0
500,271,126,0
