grass,deer,lion
257,301,3
217,310,3
201,316,3
216,330,3
222,340,3
223,329,13
235,339,13
265,348,13
280,364,14
296,373,14
323,352,14
342,352,14
379,342,16
405,297,34
418,301,34
423,310,34
433,309,35
383,313,36
353,327,38
345,338,38
368,335,36
409,329,37
436,254,71
448,267,71
443,270,71
429,250,79
465,258,80
516,256,81
563,242,83
599,173,111
605,158,120
605,166,121
580,179,122
629,178,113
686,172,111
724,172,111
727,140,128
719,149,127
698,101,151
753,104,146
821,102,144
827,111,143
804,123,127
798,135,128
812,147,125
811,161,121
790,182,117
774,181,122
727,192,113
706,208,92
676,224,83
603,224,91
540,234,91
528,246,89
506,243,91
472,262,88
427,274,83
400,292,79
385,304,52
385,312,51
395,317,51
422,299,57
427,293,61
439,297,60
485,298,57
496,294,56
517,290,56
564,282,53
584,280,47
614,271,46
620,198,79
617,202,73
582,216,73
565,232,72
594,233,71
628,235,69
667,229,68
678,228,73
668,237,72
683,234,78
689,249,76
672,231,79
677,234,75
641,234,74
653,233,78
649,222,83
658,198,94
618,198,97
529,205,105
557,209,105
604,208,84
644,194,92
644,183,100
632,140,123
614,157,124
650,153,126
678,166,125
660,173,120
658,184,120
678,191,118
691,201,112
701,204,105
688,206,107
653,225,104
648,228,103
614,246,95
619,258,86
656,255,86
698,253,73
706,241,80
714,239,83
747,243,76
777,242,67
768,249,50
720,252,48
649,215,71
567,235,72
538,248,71
533,261,72
569,259,71
543,269,71
505,283,70
475,296,70
430,307,69
443,313,69
416,323,70
451,308,69
497,297,65
534,271,74
557,277,69
572,277,62
594,281,60
619,245,77
619,226,84
644,200,88
680,152,102
714,146,105
719,148,104
722,134,108
733,148,107
759,152,104
743,172,104
771,175,99
811,112,129
824,119,127
831,133,124
821,148,122
869,145,120
849,156,119
809,176,118
781,194,116
766,165,134
729,177,128
698,190,129
662,180,133
634,190,121
632,203,116
641,213,113
655,218,109
656,231,105
665,238,102
605,253,99
510,275,96
444,298,69
441,316,63
434,324,61
416,291,79
416,268,87
425,279,75
424,247,91
414,265,90
419,275,83
425,270,84
413,273,83
445,269,77
480,269,78
490,269,78
493,192,116
503,200,113
515,215,112
500,228,112
497,228,108
554,224,107
583,224,106
587,236,103
618,240,100
640,243,95
662,166,112
689,163,109
737,167,87
769,169,84
795,161,88
822,166,88
846,173,84
874,175,83
902,173,81
893,181,80
895,177,62
839,178,66
790,193,66
